File,Key,Context,English,Afrikaans,Arabic,Catalan,"Chinese Simplified","Chinese Traditional",Czech,Danish,Dutch,English,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Norwegian,OwO,"Pirate English",Polish,Portuguese,"Portuguese, Brazilian",Romanian,Russian,"Serbian (Cyrillic)",Spanish,Swedish,Turkish,Ukrainian,Vietnamese
en-us.json,"""general.header"""," -> general.header","General Settings","General Settings","General Settings","General Settings",常规设置,一般設定,"General Settings","Generelle Indstillinger","Algemene Instellingen","General Settings","General Settings","Paramètres généraux","Allgemeine Einstellungen","General Settings","General Settings","General Settings","Pengaturan Umum","Impostazioni Generali","General Settings","General Settings","General Settings","genewaw settings OwO","Cap'n's Quarters","Ustawienia główne","General Settings","General Settings","General Settings","Общие настройки","General Settings","Ajustes Generales","Allmänna Inställningar","Genel Ayarlar","General Settings","General Settings"
en-us.json,"""general.checkForUpdates"""," -> general.checkForUpdates","Check For Updates","Check For Updates","Check For Updates","Check For Updates",检查更新,檢查更新,"Check For Updates","Tjek For Opdateringer","Checken Voor Updates","Check For Updates","Check For Updates","Vérifier les mises à jour","Nach Updates suchen","Check For Updates","Check For Updates","Check For Updates","Periksa Pembaruan","Verifica Disponibilità Aggiornamenti","Check For Updates","Check For Updates","Check For Updates","check fow updates UwU","Scour fer Booty Updates","Sprawdź aktualizacje","Check For Updates","Check For Updates","Check For Updates","Проверить обновления","Check For Updates","Buscar actualizaciones","Sök Efter Uppdateringar","Güncellemeleri Kontrol Et","Check For Updates","Check For Updates"
en-us.json,"""general.toolTip"""," -> general.toolTip","Toggle update check on launch","Toggle update check on launch","Toggle update check on launch","Toggle update check on launch",启动时检查更新,開啟時檢查更新,"Toggle update check on launch","Slå opdateringstjek ved start til eller fra","Update check bij opstarten inschakelen","Toggle update check on launch","Toggle update check on launch","Activer la vérification des mises à jour au démarrage","Beim Start nach Updates suchen","Toggle update check on launch","Toggle update check on launch","Toggle update check on launch","Aktifkan Memeriksa perbaruan saat buka aplikasi","Attiva/Disattiva Controllo Aggiornamenti all'Avvio","Toggle update check on launch","Toggle update check on launch","Toggle update check on launch","toggwe update check on waunch >w<","Toggle update check when ye set sail","Automatyczne sprawdzanie aktualizacji przy włączeniu","Toggle update check on launch","Toggle update check on launch","Toggle update check on launch","Включить проверку обновлений при запуске","Toggle update check on launch","Elige buscar actualizaciones al arrancar","Sök efter uppdateringar vid uppstart","Açılışta güncelleme kontrolünü aç/kapat","Toggle update check on launch","Toggle update check on launch"
en-us.json,"""general.oscSettings"""," -> general.oscSettings","OSC Settings","OSC Settings","OSC Settings","OSC Settings",OSC设置,"OSC 設定","OSC Settings","OSC Indstillinger","OSC Instellingen","OSC Settings","OSC Settings","Paramètres OSC","OSC Einstellungen","OSC Settings","OSC Settings","OSC Settings","Pengaturan OSC","Impostazioni OSC","OSC Settings","OSC Settings","OSC Settings","OSC sewtings nya~","OSC Riggin's","Ustawienia OSC","OSC Settings","OSC Settings","OSC Settings","Настройки OSC","OSC Settings","Ajustes de OSC","OSC Inställningar","OSC Ayarları","OSC Settings","OSC Settings"
en-us.json,"""general.locationPrefix"""," -> general.locationPrefix","Location Prefix","Location Prefix","Location Prefix","Location Prefix",位置前缀,位置前綴,"Location Prefix",Stedpræfiks,"Voorvoegsel voor locatie","Location Prefix","Location Prefix","Préfixe de localisation","Sprache Präfix","Location Prefix","Location Prefix","Location Prefix","Awalan Lokasi","Prefisso Posizione","Location Prefix","Location Prefix","Location Prefix","wocation pwefix","Treasure Map Prefix","Location Prefix","Location Prefix","Location Prefix","Location Prefix","Префикс местоположения","Location Prefix","Prefijo de dirección","Plats Prefix","Konum Ön Eki","Location Prefix","Location Prefix"
en-us.json,"""general.locationTooltip"""," -> general.locationTooltip","Prefix for OSC address","Prefix for OSC address","Prefix for OSC address","Prefix for OSC address",OSC地址前缀,"OSC 位址的前綴","Prefix for OSC address","Præfiks for OSC adresse","Voorvoegsel voor OSC-adres","Prefix for OSC address","Prefix for OSC address","Préfixe de l'adresse OSC","OSC Adressen-Präfix","Prefix for OSC address","Prefix for OSC address","Prefix for OSC address","Awalan untuk OSC address","Prefisso per l'indirizzo OSC","Prefix for OSC address","Prefix for OSC address","Prefix for OSC address","pwefix fow OSC addwess OwO","Prefix fer yer OSC coordinates","Prefix for OSC address","Prefix for OSC address","Prefix for OSC address","Prefix for OSC address","Префикс для адреса OSC","Prefix for OSC address","Prefijo para la dirección OSC","Prefix för OSC adress","OSC Adresi için Ön Ek","Prefix for OSC address","Prefix for OSC address"
en-us.json,"""general.address"""," -> general.address",Address,Address,Address,Address,地址,位址,Address,Adresse,Adres,Address,Address,Adresse,Adresse,Address,Address,Address,Address,Indirizzo,Address,Address,Address,"addwess >w<","Port o' Call",Adres,Address,Address,Address,Адрес,Address,Dirección,Adress,Adres,Address,Address
en-us.json,"""general.addressTooltip"""," -> general.addressTooltip","IP address we send OSC data to","IP address we send OSC data to","IP address we send OSC data to","IP address we send OSC data to",OSC接收IP,"傳送 OSC 資料的 IP 位址","IP address we send OSC data to","IP adresse vi sender OSC data til","IP-adres voor het ontvangen van OSC-data","IP address we send OSC data to","IP address we send OSC data to","Adresse IP d'envoi des données vers OSC","IP-Adresse an die Daten gesendet werden","IP address we send OSC data to","IP address we send OSC data to","IP address we send OSC data to","IP address kami kirimkan ke OSC data untuk","Indirizzo IP al quale inviamo i dati OSC","IP address we send OSC data to","IP address we send OSC data to","IP address we send OSC data to","IP addwess we send OSC data to uwu","IP port we be sendin' OSC booty to","Adres IP, na który wysyłamy dane OSC","IP address we send OSC data to","IP address we send OSC data to","IP address we send OSC data to","IP-адрес, на который мы отправляем данные OSC","IP address we send OSC data to","Dirección IP a la que enviar los datos de OSC","IP adress för OSC data mottagning","OSC verilerini göndereceğimiz IP adresi","IP address we send OSC data to","IP address we send OSC data to"
en-us.json,"""general.port"""," -> general.port",Port,Port,Port,Port,端口,通訊埠,Port,Port,Poort,Port,Port,Port,Port,Port,Port,Port,Port,Porta,Port,Port,Port,"Powt nya~",Harbor,Port,Port,Port,Port,Порт,Port,Puerto,Port,Port,Port,Port
en-us.json,"""general.portTooltip"""," -> general.portTooltip","OSC port we send data to","OSC port we send data to","OSC port we send data to","OSC port we send data to",OSC接收端口,"傳送 OSC 資料的通訊埠","OSC port we send data to","OSC port vi sender data til","OSC poort voor het ontvangen van data","OSC port we send data to","OSC port we send data to","Port OSC d'envoi des données","OSC Port an den die Daten gesendet werden","OSC port we send data to","OSC port we send data to","OSC port we send data to","Port OSC kami kirim data ke","Porta OSC alla quale inviamo i dati","OSC port we send data to","OSC port we send data to","OSC port we send data to","OSC powt we send data to :3","OSC harbor we be sendin' data to","Port OSC, na który wysyłamy dane OSC","OSC port we send data to","OSC port we send data to","OSC port we send data to","Порт OSC, на который мы отправляем данные","OSC port we send data to","Puerto OSC al que enviar los datos","Port för OSC data mottagning","OSC verilerini göndereceğimiz port","OSC port we send data to","OSC port we send data to"
